tags: active-korean unit-7-hospital


## 어휘

[sound:증세.mp3]	증세 <span class="small light">/ 진료</span>	symptôme<p class="small light">/ consultation (médicale)</p>
[sound:그런데_넘어져서_다리를_다쳤어요.mp3]	<ul>나는 지난 주말에 스키장에 갔어요. 그런데 넘어져서 다리를 다쳤어요. 다리가 많이 아팠어요.</ul>	<ul>Le week-end dernier je suis allé dans une station de ski. Cependant je me suis blessé à la jambe en tombant. J'avais très mal à la jambe.</ul>



## 추가 표현

[sound:소화.mp3]	소화	digestion
[sound:소화가_안_돼요.mp3]	<ul>소화가 안 돼요.</ul>	<ul>Je n'arrive pas à digérer.</ul>
[sound:멍.mp3]	멍	contusion, bleu
[sound:멍이_들었어요.mp3]	<ul>멍이 들었어요.</ul>	<ul>Je me suis fait un bleu.</ul>
[sound:토하다.mp3]	토하다	vomir
[sound:발목을_삐다.mp3]	발목을 삐다	se fouler la cheville
[sound:부러지다.mp3]	부러지다	casser, briser, rompre
[sound:다리가_부러졌어요.mp3]	<ul>다리가 부러졌어요.</ul>	<ul>Je me suis cassé la jambe.</ul>
[sound:썩다.mp3]	썩다	pourrir, (se) décomposer, avarier<hr/>carier<p class="small">(dents)</p>
[sound:이가_썩었어요.mp3]	<ul>이가 썩었어요.</ul>	<ul>J'ai une carie.</ul>
[sound:태우다.mp3]	태우다	brûler <span class="small">(qq chose)</span><ul><li>verbe <span class="em">transitif</span> (il introduit un complément d'objet) : (S) brûle (X)</li></ul>
[sound:손을_데었어요.mp3]	<ul>손을 데었어요.</ul>	<ul>Je me suis brûlé la main.</ul>



## workbook

[sound:문을_닫지_마세요.mp3]	<ul><li>미사코 씨, 추우면 문을 닫을까요?</li><li>아니요. 조금 후에 왕양 씨가 올 거예요. 문을 닫지 마세요.</li></ul>	<ul><li>Misako, quand il fait froid que dirais-tu de fermer la porte ?</li><li>Non. Wang Yang viendra un peu plus tard. Ne ferme pas la porte.</li></ul>

[sound:목이_아플_때는_아이스크림을_먹어도_돼요.mp3]	<ul><li>감기에 걸려서 목이 많이 아파요. 그래서 아이스크림을 못 먹어요.</li><li>아니에요. 목이 아플 때는 아이스크림을 먹어도 돼요.</li></ul>	<ul><li>Comme j'ai un rhume, j'ai très mal à la gorge. C'est pourquoi je ne peux pas manger de glace.</li><li>Non, on peut manger de la crème glacée quand on a mal à la gorge.</li></ul>

[sound:약을_먹어서_지금은_머리가_안_아파요.mp3]	<ul><li>지금도 머리가 많이 아파요?</li><li>약을 먹어서 지금은 머리가 안 아파요. 그런데 기침을 많이 해요.</li></ul>	<ul><li>Maintenant aussi as-tu très mal à la tête ?</li><li>Comme j'ai pris un médicament, là-maintenant je n'ai pas mal à la tête. Cependant je tousse beaucoup.</li></ul>


[sound:오늘_우리_같이_DVD_볼까요.mp3]	<ul><li>미나 씨, 오늘 우리 같이 DVD<span class="light">(를)</span> 볼까요? DVD 가게가 우리 집 옆에 있어요.</li><li>그래요? 좋아요.</li></ul>	<ul><li>Mina, aujourd'hui que dirais-tu de regarder un DVD ensemble ? La boutique de DVDs est à côté de chez moi.</li><li>Vraiment ? Parfait.</li></ul>

[sound:그_영화는_너무_슬퍼서_싫어요.mp3]	<ul><li>무슨 DVD를 볼까요?</li><li>“우리 엄마” 어때요?</li><li>그 영화는 너무 슬퍼서 싫어요, 다나카 씨.</li></ul>	<ul><li>Quel DVD veux-tu regarder ?</li><li>Que dirais-tu de “Ma mère” ?</li><li>Je déteste ce film-là parce qu'il est trop triste, Tanaka.</li></ul>

[sound:그럼_뭐가_좋을까.mp3]	<ul><li>“서울 택시”를 볼까요?</li><li>그 영화는 아이들 영화예요. 우리가 보면 재미없을 거예요.</li><li>그럼 뭐가 좋을까&hellip;</li></ul>	<ul><li>Que dirais-tu de regarder “Séoul taxi” ?</li><li>Ce film-là est un film pour enfants. Si nous on le regarde ce ne sera pas intéressant.</li><li>Alors qu'est-ce qui serait bien &hellip;</li></ul>

[sound:시인.mp3]	시인<p class="small light">/ 작가 / 소설가</p>	poète<p class="small light">/ écrivain / romancier</p><p class="small">(시: poésie)</p>
[sound:그_영화는_극장에서_애니_씨하고_같이_봤어요.mp3]	<ul><li>“시” 어때요? 사람들이 이거<span class="light">(는)</span> 아주 많이 봐요.</li><li>그 영화는 극장에서 애니 씨하고 같이 봤어요.</li></ul>	<ul><li>Que penses-tu de “La poésie” ? De très nombreuses personnes le regardent.</li><li>J'ai regardé ce film-là avec Annie au cinéma.</li></ul>

[sound:저_이_영화_정말_보고_싶었어요.mp3]	<ul><li>“가족”<span class="light">(을)</span> 볼까요? 저 이 영화<span class="light">(는)</span> 정말 보고 싶었어요.</li><li>이 영화는 지금 극장에서 하고 있으니까 DVD가 없을 거예요.</li></ul>	<ul><li>Que dirais-tu de regarder “La famille” ? Personnellement j'avais vraiment envie de regarder ce film.</li><li>Comme ce film est maintenant en train d'être passé dans les cinémas, il n'y aura pas de DVD.</li></ul>

[sound:비가_오니까_집에서_텔레비전_볼까요.mp3]	<ul><li>우리 노래방에 갈까요?</li><li>노래방은 싫어요. 목이 아파서 노래<span class="light">(를)</span> 못 해요.</li><li>그럼 비가 오니까 집에서 텔레비전<span class="light">(을)</span> 볼까요?</li><li>네, 좋아요.</li></ul>	<ul><li>Que dirais-tu d'aller ensemble au karaoké ?</li><li>Je n'aime pas le karaoké. Je ne peux pas chanter parce que j'ai mal à la gorge.</li><li>Alors puisqu'il pleut que dirais-tu de regarder la télévision à la maison ?</li><li>Oui, parfait.</li></ul>
