tags: active-korean unit-6-etiquette


## 어휘

[sound:예의.mp3]	예의	courtoisie, étiquette
## [sound:빨래하다.mp3]	빨래(를 )하다<hr/>세탁하다	faire la lessive
## 
## 빨래하다 is hands
## 세탁하다 is a washing machine 
## 빨래 is a pure Korean.
## 세탁 is a Korean made by Chinese.
## But, we call "washing machine"="세탁기", not "빨래기"=(×).
## Like we call "a laundary"="세탁소", not "빨래소"=(×).
## 세탁하다 for using laundry machine or shop. Can also be used as an idiom for cleaning some others. (Like money-laundering, you make some illegal things to legal things)
## "빨래하다" is used to clean only clothes.

[sound:들어오다.mp3]	들어오다<p class="small">(&ne;&nbsp;나오다)</p>	entrer<p class="small">(litt. “venir à l'intérieur” ; &ne;&nbsp;sortir)</p>
[sound:들어가다.mp3]	들어가다<p class="small">(&ne;&nbsp;나가다)</p>	entrer<p class="small">(litt. “aller à l'intérieur” ; &ne;&nbsp;sortir)</p>

[sound:도_되다.mp3]	<span class="small">-아<span class="em">도</span>/-어<span class="em">도</span>/-해<span class="em">도</span></span> 되다	demander/donner la permission, autoriser<ul><li>s'emploie pour exprimer la <span class="em">permission</span> (허가)</li><li>les expressions suivantes sont couramment utilisées pour donner son plein accord à une demande de permission : <span class="em">그럼요</span>, <span class="em">물론이지요</span>, <span class="em">괜찮아요</span></li></ul>
[sound:으면_안_되다.mp3]	-(으)면 안 되다	interdire<ul><li>s'emploie pour exprimer l'<span class="em">interdiction</span> (금지)</li><li>l'expression suivante est couramment utilisée pour donner un refus poli à une demande de permission : <span class="em">안 되는데요</span></li></ul>

[sound:을_때.mp3]	-(으)ㄹ 때<p class="small">-았/었을 때</p>	en général &hellip;<ul><li>s'emploie pour porter l'action à un niveau plus général</li><li>s'emploie <span class="em">au passé</span> pour préciser le moment où un événement s'est produit</li></ul>



## 핵심 대화

[sound:여기에_앉아도_돼요.mp3]	<ul><li>여기에 앉아도 돼요?</li><li>네, 앉아도 돼요.</li></ul>	<ul><li>Puis-je m'asseoir ici ?</li><li>Oui, je vous en prie.</li></ul>

[sound:여기에서_음식을_먹어도_돼요.mp3]	<ul><li>여기에서 음식을 먹어도 돼요?</li><li>그럼요.</li></ul>	<ul><li>Puis-je manger ici ?</li><li>Oui, bien sûr.</li></ul>

[sound:사진을_찍어도_돼요.mp3]	<ul><li>사진을 찍어도 돼요?</li><li>아니요, 찍으면 안 돼요.</li></ul>	<ul><li>Puis-je prendre une photo ?</li><li>Non, vous ne pouvez pas.</li></ul>

[sound:여기에서_담배를_피우면_안_되는데요.mp3]	<ul><li>저기요.</li><li>네?</li><li>여기에서 담배를 피우면 안 되는데요.</li><li>네, 알겠습니다.</li></ul>	<ul><li>Excusez-moi.</li><li>Oui ?</li><li>Il est interdit de fumer ici.</li><li>D'accord.</li></ul>

[sound:한국에서는_집에_들어갈_때_신발을_벗어요.mp3]	<ul><li>한국에서는 집에 들어갈 때 신발을 벗어요.</li><li>그래요? 몰랐어요.</li></ul>	<ul><li>En Corée, vous enlevez vos chaussures lorsque vous entrez dans la maison.</li><li>Ah bon ? Je l'ignorais.</li></ul>

[sound:시험_볼_때_이야기하면_안_돼요.mp3]	<ul><li>시험 볼 때 이야기하면 안 돼요.</li><li>죄송합니다.</li></ul>	<ul><li>Il est interdit de parler pendant l'examen.</li><li>Désolé.</li></ul>

[sound:자리를_바꿔도_돼요.mp3]	<ul><li>여기에서 음식을 먹어도 돼요?</li><li>네, 물론이지요.</li><li>담배를 피워도 돼요?</li><li>담배를 피우면 안 되는데요.</li><li>자리를 바꿔도 돼요?</li><li>네, 괜찮아요.</li></ul>	<ul><li>Puis-je manger ici ?</li><li>Oui, bien sûr.</li><li>Puis-je fumer ?</li><li>Il est interdit de fumer.</li><li>Puis-je changer de siège ?</li><li>Oui, sans problème.</li></ul>

[sound:영화_볼_때_음식을_먹어도_돼요.mp3]	<ul><li>영화 볼 때 음식을 먹어도 돼요?</li><li>네, 그럼요. 그런데 사진을 찍으면 안 돼요.</li><li>그래요? 몰랐어요.</li></ul>	<ul><li>Puis-je manger pendant le film ?</li><li>Oui, bien sûr. Cependant tu ne peux pas prendre de photo.</li><li>Vraiment ? Je l'ignorais.</li></ul>



## 듣기

[sound:여기에서_모자를_쓰면_안_돼요.mp3]	<ul><li>저기요.</li><li>네?</li><li>여기에서 모자를 쓰면 안 돼요. 뒷사람이 영화를 못 봐요.</li><li>죄송합니다.</li></ul>	<ul><li>Excuse-moi.</li><li>Oui ?</li><li>Tu ne peux pas porter de casquette ici. La personne de derrière ne peut pas regarder le film.</li><li>Désolé.</li></ul>

[sound:여기에서_이야기하면_안_돼요.mp3]	<ul><li>저기요.</li><li>네?</li><li>여기에서 이야기하면 안 돼요. 다른 사람들이 책을 못 읽어요.</li><li>미안해요.</li></ul>	<ul><li>Excuse-moi.</li><li>Oui ?</li><li>Tu ne peux pas parler ici. Les autres personnes ne peuvent pas lire <span class="light">(de livres)</span>.</li><li>Je suis désolé.</li></ul>

[sound:아기가_있어서_안_돼요.mp3]	<ul><li>와, 음식이 정말 많아요! 사진을 찍어도 괜찮아요?</li><li>그럼요.</li><li>이 술을 마시고 싶은데요. 마셔도 돼요?</li><li>네, 드세요.</li><li>담배 좀 피워도 돼요?</li><li>아기가 있어서 안 돼요.</li></ul>	<ul><li>Ouah, il y a vraiment beaucoup de nourriture ! Puis-je prendre une photo ?</li><li>Bien sûr.</li><li>J'ai envie de boire de cet alcool. Puis-je <span class="light">(en boire)</span> ?</li><li>Oui, servez-vous.</li><li>Puis-je fumer, stp ?</li><li>Tu ne peux pas parce qu'il y a un bébé.</li></ul>

[sound:날씨가_추워서_안_돼요.mp3]	<ul><li>밖에서 수영해도 돼요?</li><li>날씨가 추워서 안 돼요.</li></ul>	<ul><li>Puis-je nager dehors ?</li><li>Tu ne peux pas parce qu'il fait froid.</li></ul>

[sound:김치를_아이한테_줘도_돼요.mp3]	<ul><li>김치를 아이한테 줘도 돼요?</li><li>아니요, 안 돼요. 매워서 못 먹어요.</li></ul>	<ul><li>Puis-je donner du kimchi à mon enfant ?</li><li>Non, tu ne peux pas. Il ne peut pas en manger parce que c'est épicé.</li></ul>

[sound:요금이_너무_비싸서_안_돼요.mp3]	<ul><li>이 전화를 사용해도 돼요?</li><li>아니요, 요금이 너무 비싸서 안 돼요.</li></ul>	<ul><li>Puis-je utiliser ce téléphone ?</li><li>Non, tu ne peux pas parce que les frais sont trop chers.</li></ul>

[sound:내일_미영_씨_집에_가도_돼요.mp3]	<ul><li>미영 씨! 내일 미영 씨 집에 가도 돼요?</li><li>미안해요. 일이 많아서 안 돼요.</li></ul>	<ul><li>Miyoung ! Puis-je aller chez toi demain ?</li><li>Je suis désolée. Tu ne peux pas parce que j'ai beaucoup de travail.</li></ul>

[sound:심심할_때_뭐_해요.mp3]	<ul><li>심심할 때 뭐 해요?</li><li>심심할 때 영화를 봐요.</li><li>기분이 좋을 때는요?</li><li>기분이 좋을 때는 친구들을 만나요.</li><li>그럼 기분이 안 좋을 때는 뭐 해요?</li><li>집에서 쉬어요.</li><li>슬플 때는 뭐 해요?</li><li>그럴 때는 노래를 해요.</li></ul>	<ul><li><span class="light">(en général &hellip;)</span> Que fais-tu quand tu t'ennuies ?</li><li><span class="light">(en général &hellip;)</span> Quand je m'ennuie, je regarde un film.</li><li>Quand tu te sens bien ?</li><li>Lorsque je me sens bien je rencontre des amis.</li><li>Alors que fais-tu quand tu ne te sens pas bien ?</li><li>Je me repose à la maison.</li><li>Que fais-tu quand tu es triste ?</li><li>Dans ce cas je chante.</li></ul>



## 읽기와 쓰기

[sound:도서관_안에서_휴대전화를_사용하면_안_돼요.mp3]	<ul>도서관 이용 안내 — 도서관 안에서 휴대전화를 사용하면 안 돼요.</ul>	<ul>Information d'utilisation de la bibliothèque — Vous n'êtes pas autorisé à utiliser de téléphones portables dans la bibliothèque.</ul>
[sound:도서관_안에서_음식을_먹으면_안_돼요.mp3]	<ul>도서관 이용 안내 — 도서관 안에서 음식을 먹으면 안 돼요. 도서관 앞에 식당이 있어요. 그 식당에서 음식을 드세요.</ul>	<ul>Information d'utilisation de la bibliothèque — Vous n'êtes pas autorisé à manger à l'intérieur de la bibliothèque. Il y a des restaurants en face de la bibliothèque. Mangez dans ces restaurants.</ul>
[sound:도서관_안에서_담배를_피우면_안_돼요.mp3]	<ul>도서관 이용 안내 — 도서관 안에서 담배를 피우면 안 돼요. 도서관 밖에서 담배를 피우세요.</ul>	<ul>Information d'utilisation de la bibliothèque — Vous n'êtes pas autorisé à fumer dans la bibliothèque. Fumez à l'extérieur de la bibliothèque.</ul>
[sound:도서관_앞에_차를_세우면_안_돼요.mp3]	<ul>도서관 이용 안내 — 도서관 앞에 차를 세우면 안 돼요. 도서관 뒤에 주차장이 있어요. 그 주차장에 차를 세우세요.</ul>	<ul>Information d'utilisation de la bibliothèque — Vous n'êtes pas autorisé à garer votre véhicule devant la bibliothèque. Il y a un parking derrière la bibliothèque. Garez votre voiture dans ce parking.</ul>



## 추가 표현

[sound:물건.mp3]	물건	chose, truc, machin
[sound:코를_풀다.mp3]	코를 풀다	se moucher

[sound:집_안에서_신발을_신으면_안_돼요.mp3]	<ul>집 안에서 신발을 신으면 안 돼요.</ul>	<ul>Tu ne peux pas porter de chaussures dans la maison.</ul>

[sound:어른에게_한_손으로_물건을_드리면_안_돼요.mp3]	<ul>어른에게 한 손으로 물건을 드리면 안 돼요.</ul>	<ul>Tu dois utiliser tes deux mains quand tu donnes quelque chose à un aîné.<p class="small">(litt. “tu ne peux pas donner quelque chose à un aîné avec une main”)</p></ul>

[sound:어른_앞에서_담배를_피우면_안_돼요.mp3]	<ul>어른 앞에서 담배를 피우면 안 돼요.</ul>	<ul>Tu ne peux pas fumer devant un aîné.</ul>

[sound:어른보다_먼저_숟가락을_들면_안_돼요.mp3]	<ul>어른보다 먼저 숟가락을 들면 안 돼요.</ul>	<ul>Tu ne peux pas commencer à manger avant un aîné.<p class="small">(litt. “tu ne peux pas prendre ta cuillère avant un aîné”)</p></ul>

[sound:그릇을_들고_밥을_먹으면_안_돼요.mp3]	<ul>그릇을 들고 밥을 먹으면 안 돼요.</ul>	<ul>Tu ne peux pas lever ton bol pendant que tu manges.</ul>

[sound:밥_먹을_때_코를_풀면_안_돼요.mp3]	<ul>밥 먹을 때 코를 풀면 안 돼요.</ul>	<ul>Tu ne peux pas te moucher pendant le repas.</ul>



## workbook

[sound:미사코_씨_요즘_왜_산에_안_가요.mp3]	<ul><li>미사코 씨, 요즘 왜 산에 안 가요?</li><li>다리가 안 좋아서요.</li><li>아, 그래요? 다리가 많이 아프면 산에 가면 안 좋아요.</li><li>그럼 무슨 운동을 하면 좋아요?</li><li>다리가 아플 때는 수영이 좋아요. 그리고 약도 먹어야 돼요.</li><li>그래요? 그럼 자전거는 타도 돼요?</li><li>네, 자전거도 좋아요.</li><li>그럼 우리 계단으로 갈까요?</li><li>계단으로 가면 안 돼요. 계단은 다리에 안 좋아요.</li><li>네, 알았어요. 아! 엘리베이터가 왔어요.빨리 타요.</li></ul>	<ul><li>Misako, pourquoi ne vas-tu pas à la montagne ces jours-ci ?</li><li>Parce que je n'ai pas de bonnes jambes.</li><li>Ah, vraiment ? C'est mauvais d'aller à la montagne quand on a très mal aux jambes.</li><li>Alors quel exercice est bon ?</li><li>En général, quand on a mal aux jambes, la natation est bien. Et il faut également prendre des médicaments.</li><li>Vraiment ? Peut-on faire du vélo ?</li><li>Oui, le vélo est bien aussi.</li><li>Alors prenons ensemble les escaliers ?</li><li>Il ne faut pas prendre les escaliers. Les escaliers sont mauvais pour les jambes.</li><li>Oui, d'accord. Ah ! L'ascenseur est arrivé, montons vite.</li></ul>

[sound:이거_물로_빨래하도_돼요.mp3]	<ul><li><span class="light">(점원)</span> 어서 오세요.</li><li><span class="light">(손님)</span> 바지를 하나 사고 싶은데요.</li><li>이 바지가 어떠세요?</li><li>예쁘네요. 이거 운동할 때 입어도 돼요?</li><li>아뇨, 운동할 때는 안 좋아요.</li><li>이거 물로 빨래해도 돼요?</li><li>네, 물빨래 해도 돼요. 그렇지만 손으로 빨아야 돼요.</li></ul>	<ul><li><span class="light">(vendeur)</span> Bienvenue.</li><li><span class="light">(cliente)</span> Je voudrais acheter un pantalon.</li><li>Comment trouvez-vous ce pantalon ?</li><li>Il est joli ! Puis-je le porter pour faire du sport ?</li><li>Non, il n'est pas adapté pour faire du sport.</li><li>Puis-je le laver à l'eau ?</li><li>Oui, vous pouvez laver à l'eau. Mais vous devez le laver à la main.</li></ul>

[sound:백화점_카드_있으면_할인_받을_수_있어요.mp3]	<ul><li><span class="light">(손님)</span> 얼마예요?</li><li><span class="light">(점원)</span> 56,000원이에요.</li><li>백화점 카드<span class="light">(가)</span> 있으면 할인 받을 수 있어요?</li><li>네, 5% 할인 받을 수 있어요. 할인 받으면 53,200원이에요.</li><li>여기 카드 있어요.</li></ul>	<ul><li><span class="light">(cliente)</span> Ça coûte combien ?</li><li><span class="light">(vendeur)</span> Ça coûte 56 000 wons.</li><li>Puis-je obtenir une réduction si j'ai une carte de grand magasin ?</li><li>Oui, vous pouvez bénéficier d'une remise de 5%. En tenant compte de la réduction, il coûte 53 200 wons.</li><li>Voici la carte.</li></ul>

[sound:교실에서_껌을_씹으면_안_돼요.mp3]	<ul>교실에서 껌을 씹으면 안 돼요.</ul>	<ul>Tu ne peux pas mâcher de chewing-gum en classe.</ul>

[sound:이_영화는_어른만_볼_수_있어요.mp3]	<ul>이 영화는 어른만 볼 수 있어요. 그러니까 아이는 영화를 보면 안 돼요.</ul>	<ul>Ce film est réservé aux adultes. Les enfants ne peuvent donc pas le regarder.</ul>

[sound:전화를_하고_싶으면_밖으로_나가야_돼요.mp3]	<ul>극장에서 영화를 볼때 전화를 하면 안 돼요. 전화를 하고 싶으면 밖으로 나가야 돼요.</ul>	<ul>Au cinéma, tu ne peux pas téléphoner pendant le film. Si tu veux téléphoner, tu dois sortir.</ul>

[sound:쓰레기를_바닥에_버리면_안_돼요.mp3]	<ul>저 사람은 쓰레기를 바닥에 버려요. 쓰레기를 바닥에 버리면 안 돼요. 쓰레기는 휴지통에 버려야 돼요.</ul>	<ul>Cette personne là-bas jette ses déchets sur le sol. On ne peut pas jeter de déchets sur le sol. On doit les jeter à la poubelle.</ul>
