tags: active-korean unit-3-restaurant


## 어휘

[sound:뭐_드릴까요.mp3]	뭐 드릴까요?	que désirez-vous ?
[sound:냉면.mp3]	냉면	naengmyeon<p class="small">(nouilles froides)</p><ul><li>Le naegmyeon est une soupe traditionnelle nord-coréenne à base de nouilles faites de farine de sarrasin, de pomme de terre et de patate douce.</li><li>Il existe différentes variétés de naegmyeon. Les deux plus connues sont le 물냉면 et le 비빔냉면. &#10122; Le <span class="em">물냉면</span> est originaire de 평양 (Pyongyang), la capitale nord-coréenne. Il s'agit d'une soupe de nouilles froide accompagnée de légumes, de bœuf et de poulet. &#10123; Le <span class="em">비빔냉면</span> est servi avec du poisson cru mariné et est plus épicé. Les nouilles sont fabriquées à partir de patates douces pour les rendre plus moelleuses. Il est originaire de Hamhung, dans le nord-est de la Corée du Nord.</li><li>Le naengmyeon est surtout consommé en été. Les nouilles sont très longues (cela symbolise la longévité de la vie et une bonne santé en Extrême-Orient). Toutefois, les serveurs demandent souvent aux clients s'ils veulent que les nouilles soient coupées aux ciseaux pour être plus facilement consommées.</li><li>Ce plat est connu depuis la dynastie Joseon (조선). Originaire de Corée du Nord, il devint très populaire dans l'ensemble de la péninsule coréenne après la guerre de Corée (1950-1953).</li></ul>
[sound:삼겹살.mp3]	삼겹살	poitrine de porc<p class="small">(barbecue coréen)</p><ul>Le samgyeopsal (litt. “triple couches de viande”) ou samgyeopsal-gui (삼겹살구이) est un type de <span class="em">구이</span> (plat grillé) de la cuisine coréenne fait à partir de tranches de poitrine de porc. Il est généralement servi comme repas du soir. La viande, généralement ni marinée ni assaisonnée, est cuite sur un grill par les convives. Le samgyeopsal est généralement servi avec les sauces <span class="em">쌈장</span> et <span class="em">기름장</span>, des légumes et des <span class="em">쌈</span> (feuilles de salade) qui servent à envelopper les morceaux de viande.</ul>
[sound:쌈.mp3]	쌈	feuilles de salade<ul>Ssam (litt. “roulé”) est le nom donné en cuisine coréenne aux plats dans lesquels des feuilles de salade, de chou ou de perilla sont utilisées pour enrouler de la viande telle que du porc. Ce plat est souvent accompagné d'une sauce nommée <span class="em">쌈장</span> et peut également être additionné d'ail (마늘, cru ou cuit), d'oignon (양파), de poivron vert ou d'un <span class="em">반찬</span> (petit plat d’accompagnement).</ul>
[sound:삼계탕.mp3]	삼계탕	samgyetang<p class="small">(soupe de poulet au ginseng)</p><ul>Le samgyetang est une soupe de poulet au ginseng (인삼). Elle est faite à partir d'un jeune poulet farci avec du riz gluant et cuit avec un bouillon de ginseng, des graines de jujube séchées, de l’ail (마늘) et du gingembre (생강). Selon la recette, on peut aussi ajouter d’autres plantes médicinales telles que les baies de goji (구기자), le dangsam, et l'angélique (당귀).</ul>
[sound:김밥.mp3]	김밥	gimbap<p class="small">(jap. “maki”)</p>
[sound:삼각김밥.mp3]	삼각김밥	gimbap triangulaire<p class="small">(jap. “onigiri”)</p>
[sound:버찌.mp3]	버찌	cerise<p class="small">(과일: fruit)</p>
[sound:토마토.mp3]	토마토	tomate<p class="small">(과일: fruit)</p>
[sound:딸기.mp3]	딸기	fraise<p class="small">(과일: fruit)</p>
[sound:레몬.mp3]	레몬	citron<p class="small">(과일: fruit ; angl. “lemon”)</p>
[sound:귤.mp3]	귤	mandarine<p class="small">(과일: fruit)</p>
[sound:감.mp3]	감	kaki<p class="small">(과일: fruit)</p>
[sound:수박.mp3]	수박	pastèque, melon d'eau<p class="small">(과일: fruit)</p>

[sound:죽.mp3]	죽	bouillie, potage, soupe

[sound:음료수.mp3]	음료수 <span class="small">[음ː뇨수]</span>	boisson
[sound:홍차.mp3]	홍차	thé noir<p class="small">(음료수: boisson)</p>
[sound:술.mp3]	술	alcool<p class="small">(음료수: boisson)</p>
[sound:맥주.mp3]	맥주	bière<p class="small">(술: alcool)</p>
[sound:생맥주.mp3]	생맥주	bière pression<p class="small">(술: alcool)</p>
[sound:소주.mp3]	소주	soju<p class="small">(술: alcool)</p>
[sound:막걸리.mp3]	막걸리	makgeolli<p class="small">(술: alcool)</p><ul><li>alcool de riz coréen doux et laiteux</li></ul>

[sound:생선.mp3]	생선	poisson (aliment)
[sound:돼지고기.mp3]	돼지고기	(viande de) porc
[sound:쇠고기.mp3]	쇠고기	(viande de) bœuf
[sound:닭고기.mp3]	닭고기 <span class="small">[닥꼬기]</span>	(viande de) poulet
[sound:간장.mp3]	간장<p class="small light">/ 된장 / 고추장</p>	sauce soja<p class="small light">/ pâte de soja / pâte de piment</p><ul>Avec le <span class="em">된장</span> (pâte de soja) et le <span class="em">고추장</span> (pâte de piment), le <span class="em">간장</span> (sauce soja) est un des trois condiments de base de la cuisine coréenne.</ul>
[sound:된장.mp3]	된장<p class="small light">/ 간장 / 고추장</p>	pâte de soja fermentée<p class="small">(jap. “miso”)</p><p class="small light">/ sauce soja / pâte de piment</p><ul><li>Avec le <span class="em">간장</span> (sauce soja) et le <span class="em">고추장</span> (pâte de piment), le <span class="em">된장</span> (pâte de soja) est un des trois condiments de base de la cuisine coréenne.</li><li>Le 고추장 (pâte de piment) mélangé avec le doenjang donne du <span class="em">쌈장</span>, qui se mange avec du porc grillé et de la salade.</li></ul>
[sound:소금.mp3]	소금 <span class="small light">/ 후추</span>	sel <span class="small light">/ poivre</span>
[sound:후추.mp3]	후추 <span class="small light">/ 소금</span>	poivre <span class="small light">/ sel</span>

[sound:컵.mp3]	컵	tasse, verre<p class="small">(angl. “cup”)</p>
[sound:접시.mp3]	접시	assiette
[sound:숟가락.mp3]	숟가락 <span class="small">[숟까락]</span>	cuillère<p class="small">(수저: couverts)</p>
[sound:젓가락.mp3]	젓가락 <span class="small">[젇까락]</span>	baguettes<p class="small">(수저: couverts)</p><ul><li>Les baguettes peuvent être posées sur une table mais jamais plantées dressées dans la nourriture, en particulier le riz, car cela est supposé porter malchance (cela rappelle la tradition de planter des bâtons d'encens dans un bol de sable lors des funérailles).</li><li>Le riz est consommé avec une cuillère ; en particulier, on n'approche jamais un bol de riz de sa bouche pour pouvoir le consommer avec des baguettes.</li><li>Il est d’usage d’attendre que l’aîné de la table ait terminé pour reposer sur la table ses baguettes.</li></ul>
[sound:도시락.mp3]	도시락	gamelle, panier-repas<p class="small">(angl. “lunch box” ; jap. “bento”)</p>
[sound:수저.mp3]	수저	couverts<ul><li>Mot-valise constitué à partir des mots <span class="em">숟가락</span> (cuillère) et <span class="em">젓가락</span> (baguettes) désignant l'ensemble des ustensils communément utilisés pour manger au cours d'un repas coréen. Cet ensemble comprend une paire de baguettes en métal (souvent en acier inoxydable) et une cuillère peu profonde à long manche du même matériau.</li><li><span class="em">Sur une table coréenne, le riz (밥) est placé à gauche, la soupe (국) au milieu et les couverts (수저) à droite. Les baguettes sont posées sur le côté droit de la cuillère appariée, parallèlement à celle-ci.</span> Il ne faut jamais mettre les baguettes à gauche de la cuillère. Les baguettes ne sont posées du côté gauche de la cuillère que lors des repas de funérailles ou des services commémoratifs pour les défunts de la famille (제사).</li><li>La cuillère est utilisée pour le riz (밥) et les soupes (국), tandis que la plupart des autres accompagnements (반찬) sont consommés avec des baguettes. Il convient de ne pas soulever les bols : on utilise sa cuillère pour la soupe et le riz car on n’approche jamais un bol à ses lèvres.</li><li>Il est considéré mal poli de tenir simultanément la cuillère et les baguettes, que ce soit à une ou deux mains. De manière générale, il est mal vu d’utiliser ses deux mains pour manger.</li></ul>

[sound:메뉴.mp3]	메뉴	menu

[sound:한식.mp3]	한식	cuisine coréenne
[sound:일식.mp3]	일식	cuisine japonaise
[sound:양식.mp3]	양식	cuisine occidentale

[sound:줄.mp3]	줄	rangées, lignes, cordes<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p>
[sound:그릇.mp3]	그릇	bols, plats<p class="small">(수분류사: classificateur + cardinal <span class="em">coréen</span>)</p>

[sound:한병_한개_한잔.mp3]	한 병 / 한 개 / 한 잔	une bouteille / un objet / un verre
[sound:두병_두개_두잔.mp3]	두 병 / 두 개 / 두 잔	deux bouteilles / deux objets / deux verres
[sound:세병_세개_세잔.mp3]	세 병 / 세 개 / 세 잔	trois bouteilles / trois objets / trois verres
[sound:네병_네개_네잔.mp3]	네 병 / 네 개 / 네 잔	quatre bouteilles / quatre objets / quatre verres
[sound:다섯병_다섯개_다섯잔.mp3]	다섯 병 / 다섯 개 / 다섯 잔	cinq bouteilles / cinq objets / cinq verres
[sound:여섯병_여섯개_여섯잔.mp3]	여섯 병 / 여섯 개 / 여섯 잔	six bouteilles / six objets / six verres
[sound:일곱병_일곱개_일곱잔.mp3]	일곱 병 / 일곱 개 / 일곱 잔	sept bouteilles / sept objets / sept verres
[sound:여덟병_여덟개_여덟잔.mp3]	여덟 병 / 여덟 개 / 여덟 잔	huit bouteilles / huit objets / huit verres
[sound:아홉병_아홉개_아홉잔.mp3]	아홉 병 / 아홉 개 / 아홉 잔	neuf bouteilles / neuf objets / neuf verres
[sound:열병_열개_열잔.mp3]	열 병 / 열 개 / 열 잔	dix bouteilles / dix objets / dix verres

[sound:사과_한_개_주세요.mp3]	<ul>사과 한 개 주세요.</ul>	<ul>Donnez-moi une pomme, svp.</ul>
[sound:콜라_두_병_주세요.mp3]	<ul>콜라 두 병 주세요.</ul>	<ul>Donnez-moi deux bouteilles de cola, svp.</ul>
[sound:커피_세_잔_주세요.mp3]	<ul>커피 세 잔 주세요.</ul>	<ul>Donnez-moi trois tasses de café, svp.</ul>
[sound:몇_개_있어요.mp3]	<ul>몇 개 있어요?</ul><hr/><ul>몇 개예요?</ul>	<ul>Combien y a-t-il d'objets ?</ul>
[sound:몇_병_있어요.mp3]	<ul>몇 병 있어요?</ul><hr/><ul>몇 병이에요?</ul>	<ul>Combien y a-t-il de bouteilles ?</ul>
[sound:몇_개예요.mp3]	<ul><li>몇 개예요?</li><li>네 개예요.</li></ul>	<ul><li>Combien y en a-t-il ?</li><li>Il y en a quatre.</li></ul>


## 핵심 대화

[sound:불고기_주세요.mp3]	<ul><li>어서 오세요. 뭐 드릴까요?</li><li>불고기 주세요.</li></ul>	<ul><li>Bienvenue. Que désirez-vous ?</li><li>Je voudrais du bulgogi s'il vous plaît.</li></ul>

[sound:냉면_둘_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>냉면 둘 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais deux bols de naengmyeon s'il vous plaît.</li></ul>

[sound:콜라_한_병하고_맥주_두_병_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>콜라 한 병하고 맥주 두 병 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais une bouteille de cola et deux bouteilles de bière s'il vous plaît.</li></ul>

[sound:김치_좀_더_주세요-1.mp3]	<ul><li>여기요. 김치 좀 더 주세요.</li><li>잠깐만 기다리세요.</li></ul>	<ul><li>Excusez-moi. Pourrais-je avoir plus de kimchi s'il vous plaît ?</li><li>Un instant s'il vous plaît.</li></ul>

[sound:김치_좀_더_주세요-2.mp3]	<ul><li>여기요. 김치 좀 더 주세요.</li><li>네, 여기 있어요.</li></ul>	<ul><li>Excusez-moi. Pourrais-je avoir plus de kimchi s'il vous plaît ?</li><li>Oui, voilà.</li></ul>


## 듣기

[sound:햄버거_두_개_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>햄버거 두 개 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 2 hamburgers svp.</li></ul>

[sound:오렌지_주스_세_잔_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>오렌지 주스 세 잔 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 3 verres de jus d'orange svp.</li></ul>

[sound:맥주_다섯_병_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>맥주 다섯 병 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 5 bouteilles de bière svp.</li></ul>

[sound:오렌지_다섯_개하고_사과_두_개_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>오렌지 다섯 개하고 사과 두 개 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 5 oranges et 2 pommes svp.</li></ul>

[sound:불고기_둘하고_콜라_한_병_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>불고기 둘하고 콜라 한 병 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 2 bulgogi et 1 bouteille de cola svp.</li></ul>

[sound:콜라_한_병하고_커피_네_잔_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>콜라 한 병하고 커피 네 잔 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 1 bouteille de cola et 4 tasses de café svp.</li></ul>
