tags: active-korean unit-4-shopping


## 어휘

[sound:쇼핑.mp3]	쇼핑	shopping
[sound:천만_10,000,000.mp3]	천만 (10,000,000)	dix millions<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:억_100,000,000.mp3]	억 (100,000,000)	cent millions<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>
[sound:십억_1,000,000,000.mp3]	십억 (1,000,000,000)	milliard, billion<p class="small">(cardinal <span class="em">sino-coréen</span>)</p>

[sound:명.mp3]	명	personnes (neutre)<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:마리.mp3]	마리	animaux<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:그루.mp3]	그루	végétation (arbres, plantes)<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:송이.mp3]	송이	fleurs, grappes (d'un fruit)<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:권.mp3]	권	livres, cahiers<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:장.mp3]	장	feuilles (de papier, d'arbre), billets<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:벌.mp3]	벌	vêtements<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:켤레.mp3]	켤레	paires (vêtements : chaussettes, chaussures, …)<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:대.mp3]	대	machines, véhicules (ordinateurs, voitures, télévisions, …)<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:시.mp3]	시	heures<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:살.mp3]	살	âge (d'une personne)<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:채.mp3]	채	bâtiments (maisons, …)<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:척.mp3]	척	bateaux<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:통.mp3]	통	lettres, messages (SMS, courriels, appels téléphoniques, …)<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>

[sound:층.mp3]	층	numéro d'étage<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>
[sound:호.mp3]	호	numéro de chambre, d'appartement<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>
[sound:회.mp3]	회	numéro d'épisode<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>
[sound:과.mp3]	과	numéro de leçon<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>
[sound:분.mp3]	분	minutes<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>
[sound:일.mp3]	일	travail<hr/>jours<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>
[sound:월.mp3]	월	mois<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>
[sound:년.mp3]	년	années<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>
[sound:학년.mp3]	학년	années scolaires<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>
[sound:인분.mp3]	인분	portions (au restaurant)<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>
[sound:원.mp3]	원	won (₩)<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>
[sound:유로.mp3]	유로	euros (€)<p class="small">(cardinal <span class="em">sino-coréen</span> + classificateur)</p>

[sound:이거.mp3]	<table id="underlined-header"><tr><th>이것</th><th class="em" colspan=2>이거</th></tr><tr><td>이것이</td><td class="em">이게</td><td>[이거가]</td></tr><tr><td>이것은</td><td class="em">이건</td><td>[이거는]</td></tr><tr><td>이것을</td><td class="em">이걸</td><td>[이거를]</td></tr></table>	cette chose-ci<p class="small">(près du locuteur)</p>

[sound:그거.mp3]	<table id="underlined-header"><tr><th>그것</th><th class="em" colspan=2>그거</th></tr><tr><td>그것이</td><td class="em">그게</td><td>[그거가]</td></tr><tr><td>그것은</td><td class="em">그건</td><td>[그거는]</td></tr><tr><td>그것을</td><td class="em">그걸</td><td>[그거를]</td></tr></table>	cette chose-là<p class="small">(près de l'interlocuteur)</p>

[sound:저거.mp3]	<table id="underlined-header"><tr><th>저것</th><th class="em" colspan=2>저거</th></tr><tr><td>저것이</td><td class="em">저게</td><td>[저거가]</td></tr><tr><td>저것은</td><td class="em">저건</td><td>[저거는]</td></tr><tr><td>저것을</td><td class="em">저걸</td><td>[저거를]</td></tr></table>	cette chose là-bas<p class="small">(loin du locuteur et de l'interlocuteur)</p>


## 핵심 대화

[sound:시계가_있어요.mp3]	<ul><li>시계가 있어요?</li><li>네, 있어요.</li></ul>	<ul><li>Avez-vous une montre ?</li><li>Oui.</li></ul>

[sound:우산이_있어요.mp3]	<ul><li>우산이 있어요?</li><li>아니요, 없어요.</li></ul>	<ul><li>Avez-vous un parapluie ?</li><li>Non.</li></ul>

[sound:이거는_뭐예요.mp3]	<ul><li>이거는 뭐예요?</li><li>그거는 사전이에요.</li></ul>	<ul><li>Qu'est-ce que c'est ? <span class="small">(proche de moi)</span></li><li>C'est un dictionnaire. <span class="small">(proche de lui)</span></li></ul>

[sound:저거는_뭐예요.mp3]	<ul><li>저거는 뭐예요?</li><li>저거는 가방이에요.</li></ul>	<ul><li>Qu'est-ce que c'est ? <span class="small">(loin des 2)</span></li><li>C'est un sac. <span class="small">(loin des 2)</span></li></ul>

[sound:저_책은_한국어_책이에요.mp3]	<ul><li>저 책은 한국어 책이에요?</li><li>네, 한국어 책이에요.</li></ul>	<ul><li>Ce livre là-bas est-il un livre coréen ?</li><li>Oui.</li></ul>

[sound:이_사과는_얼마예요.mp3]	<ul><li>이 사과는 얼마예요?</li><li>오백 원이에요.</li></ul>	<ul><li>Combien coûte cette pomme ?</li><li>C'est 500 won.</li></ul>

[sound:이_사과는_하나에_얼마예요.mp3]	<ul><li>이 사과는 하나에 얼마예요?</li><li>이천 원이에요.</li></ul>	<ul><li>Combien coûte une de ces pommes ?</li><li>C'est 2000 won.</li></ul>


## 듣기

[sound:신문이_있어요.mp3]	신문이 있어요?	avez-vous le journal ?
[sound:바지는_삼만_팔천_원이에요.mp3]	바지는 삼만 팔천 원이에요	le pantalon coûte 38,000 wons
[sound:이_사전은_이만_육천_원이에요.mp3]	이 사전은 이만 육천 원이에요	ce dictionnaire coûte 26,000 wons
[sound:빵은_하나에_천이백_원이에요.mp3]	빵은 하나에 천이백 원이에요	un pain coûte 1,200 wons

[sound:이_치마_얼마예요.mp3]	<ul><li>아저씨, 이 치마 얼마예요?</li><li>오만 삼천 원이에요.</li><li>너무 비싸요. 좀 깎아 주세요.</li><li>오만 원 주세요.</li></ul>	<ul><li>Ajhussi, combien coûte cette jupe ?</li><li>53,000 wons.</li><li>C'est trop cher. Faîtes-moi un prix, svp.</li><li>50,000 wons.</li></ul>
