tags: active-korean unit-2-transportation


## 어휘

[sound:교통.mp3]	교통	transport
[sound:지하철_2호선을_타고_잠실역에서_내리세요.mp3]	<ul><li>애니 씨 집에 어떻게 가야 돼요?</li><li>지하철 2호선을 타고 잠실역에서 내리세요.</li></ul>	<ul><li>Comment dois-aller chez Annie ?</li><li>Prends la ligne <span style="color:#33A23D">&#10103;</span> du métro et descends à la station Jamsil.</li></ul>

[sound:지하철_3호선을_타고_안국역에서_내리세요.mp3]	<ul><li>한국대학교에 어떻게 가야 돼요?</li><li>지하철 3호선을 타고 안국역에서 내리세요.</li></ul>	<ul><li>Comment dois-je aller à l'Université Nationale de Séoul ?</li><li>Prends la ligne <span style="color:#FE5B10">&#10104;</span> du métro et descends à la station Anguk.</li></ul>

[sound:지하철_2호선을_타고_동대문운동장역에서_내리세요.mp3]	<ul><li>서울시장에 어떻게 가야 돼요?</li><li>지하철 2호선을 타고 동대문운동장역에서 내리세요.</li></ul>	<ul><li>Comment dois-je aller au marché de Séoul ?</li><li>Prends la ligne <span style="color:#33A23D">&#10103;</span> du métro et descends à la station Stade de Dongdaemun.</li></ul>

[sound:지하철_2호선을_타고_삼성역에서_내리세요.mp3]	<ul><li>하나극장에 어떻게 가야 돼요?</li><li>지하철 2호선을 타고 삼성역에서 내리세요.</li></ul>	<ul><li>Comment dois-je aller au cinéma Hana ?</li><li>Prends la ligne <span style="color:#33A23D">&#10103;</span> du métro et descends à la station Samseong.</li></ul>


[sound:공부해야_돼요.mp3]	<ul><li>여보세요, 마이클 씨? 저 애니예요. 내일 같이 산에 갈까요?</li><li>월요일에 시험이 있어요. 공부해야 돼요.</li></ul>	<ul><li>Allô, Michael ? C'est Annie. Demain voudrais-tu aller ensemble à la montagne ?</li><li>J'ai un examen lundi. Je dois étudier.</li></ul>

[sound:병원에_가야_돼요.mp3]	<ul><li>여보세요, 영준 씨? 저 애니예요. 내일 같이 산에 갈까요?</li><li>미안해요. 병원에 가야 돼요.</li></ul>	<ul><li>Allô, Yeong-jun ? C'est Annie. Demain voudrais-tu aller ensemble à la montagne ?</li><li>Je suis désolé. Je dois aller à l'hôpital.</li></ul>

[sound:수영을_배워야_돼요.mp3]	<ul><li>여보세요, 앤디 씨? 저 애니예요. 내일 같이 산에 갈까요?</li><li>시간이 없어요. 수영을 배워야 돼요.</li></ul>	<ul><li>Allô, Andy ? C'est Annie. Demain voudrais-tu aller ensemble à la montagne ?</li><li>Je n'ai pas le temps. Je dois apprendre à nager.</li></ul>

[sound:여자_친구를_만나야_돼요.mp3]	<ul><li>여보세요, 토니 씨? 저 애니예요. 내일 같이 산에 갈까요?</li><li>내일 여자 친구를 만나야 돼요.</li></ul>	<ul><li>Allô, Tony ? C'est Annie. Demain voudrais-tu aller ensemble à la montagne ?</li><li>Demain je dois retrouver ma petite amie.</li></ul>


[sound:지하철을_타고_가요.mp3]	<ul><li>마이클 씨, 어디에 가요?</li><li>병원에 가요.</li><li>병원에 어떻게 가요?</li><li>지하철을 타고 가요.</li><li>여기에서 병원까지 얼마나 걸려요?</li><li>30분쯤 걸려요.</li></ul>	<ul><li>Michael, où vas-tu ?</li><li>Je vais à l'hôpital.</li><li>Comment y vas-tu ?</li><li>Je m'y rends en métro.</li><li>D'ici à l'hôpital cela prend combien de temps ?</li><li>Cela prend une trentaine de minutes.</li></ul>

[sound:택시를_타고_가요.mp3]	<ul><li>크리스 씨, 어디에 가요?</li><li>시장에 가요.</li><li>시장에 걸어서 가요?</li><li>아니요, 시간이 없어서 택시<span class="light">(를)</span> 타고 가요.</li><li>여기에서 시장까지 얼마나 걸려요?</li><li>10분쯤 걸려요.</li></ul>	<ul><li>Chris, où vas-tu ?</li><li>Je vais au marché.</li><li>Tu y vas à pied ?</li><li>Non. Je n'ai pas le temps alors je m'y rends en taxi.</li><li>D'ici au marché cela prend combien de temps ?</li><li>Cela prend une dizaine de minutes.</li></ul>

[sound:버스를_타고_가요.mp3]	<ul><li>미사코 씨, 어디에 가요?</li><li>백화점에 가요.</li><li>백화점에 어떻게 가요?</li><li>버스를 타고 가요.</li><li>여기에서 백화점까지 얼마나 걸려요?</li><li>1시간쯤 걸려요.</li></ul>	<ul><li>Misako, où vas-tu ?</li><li>Je vais au grand magasin.</li><li>Comment y vas-tu ?</li><li>Je m'y rends en bus.</li><li>D'ici au grand magasin cela prend combien de temps ?</li><li>Cela prend environ une heure.</li></ul>


[sound:애니_씨는_학교에서_집까지_어떻게_가요.mp3]	<ul><li>애니 씨, 애니 씨는 학교에서 집까지 어떻게 가요?</li><li>지하철을 타고 가요.</li><li>어디에서 내려요?</li><li>삼성역에서 내려요.</li><li>얼마나 걸려요?</li><li>30분 걸려요.</li></ul>	<ul><li>Annie, comment vas-tu de ton école à chez toi ?</li><li>J'y vais en métro.</li><li>Où descends-tu ?</li><li>Je descends à la station Samseong.</li><li>Cela prend combien de temps ?</li><li>Cela prend trente minutes.</li></ul>


[sound:서울책방에_어떻게_가요.mp3]	<ul><li>“서울책방”에 어떻게 가요?</li><li>사당역에서 4호선을 타세요. 그리고 명동역에서 내리세요.</li></ul>	<ul><li>Comment vais-je à la librairie de Séoul ?</li><li>Prends la ligne <span style="color:#32A1C8">&#10105;</span> à la station Sadang et descends à la station Myeong-dong.</li></ul>

[sound:제일극장에_어떻게_가요.mp3]	<ul><li>“제일극장”에 어떻게 가요?</li><li>서울대입구역에서 2호선을 타야 돼요. 그리고 사당역에서 내리세요.</li></ul>	<ul><li>Comment vais-je au cinéma “premier” ?</li><li>Tu dois prendre la ligne <span style="color:#33A23D">&#10103;</span> à la station 서울대입구. Descends à la station Sadang.</li></ul>

[sound:한국식당에_어떻게_가요.mp3]	<ul><li>“한국식당”에 어떻게 가요?</li><li>서울대입구역에서 2호선을 타세요. 그리고 사당역에서 4호선으로 갈아타세요. 명동역에서 내려야 돼요.</li></ul>	<ul><li>Comment vais-je au restaurant coréen ?</li><li>Prends la ligne <span style="color:#33A23D">&#10103;</span> à la station 서울대입구 et à la station Sadang prends la correspondance avec la ligne <span style="color:#32A1C8">&#10105;</span>. Tu dois descendre à la station Myeong-dong.</li></ul>


[sound:학교_앞에서_151번_버스를_타세요.mp3]	<ul><li>애니 씨, 토요일에 시간<span class="light">(이)</span> 있어요?</li><li>네, 있어요.</li><li>그럼 우리 영화<span class="light">(를)</span> 볼까요?</li><li>좋아요. 어디에서 만날까요?</li><li>“사랑극장”에서 만나요.</li><li>어떻게 가야 돼요?</li><li>학교 앞에서 151번 버스를 타세요. 그리고 명동역에서 내리세요.</li></ul>	<ul><li>Annie, as-tu du temps samedi ?</li><li>Oui, j'en ai.</li><li>Alors, que dirais-tu de voir un film ensemble ?</li><li>Avec plaisir. Où nous retrouvons-nous ?</li><li>Rdv au cinéma “amour”.</li><li>Comment dois-je y aller ?</li><li>Prends le bus n°151 devant l'école et descends à la station Myeong-dong.</li></ul>

[sound:명동역_근처에_있어요.mp3]	<ul><li>극장은 어디에 있어요? 명동역 근처에 있어요?</li><li>명동역 근처에 백화점이 있어요. 극장은 백화점 옆에 있어요.</li><li>몇 시에 만날까요?</li><li>영화는 3시에 시작해요. 2시 40분에 만나요.</li></ul>	<ul><li>Où est le cinéma ? Est-il à proximité de la station Myeong-dong ?</li><li>À proximité de la station Myeong-dong il y a le grand magasin. Le cinéma est à côté du grand magasin.</li><li>À quelle heure nous retrouvons-nous ?</li><li>Le film commence à 15h. Retrouvons-nous à 14h40.</li></ul>
