tags: active-korean unit-7-appointment


## 어휘

[sound:약속.mp3]	약속	rendez-vous<hr/>promesse, engagement
[sound:수영.mp3]	수영	natation, nage
[sound:수영하다.mp3]	수영하다	faire de la natation, nager


## 핵심 대화

[sound:오늘이_며칠이에요.mp3]	<ul><li>오늘이 며칠이에요?</li><li>오늘은 시월 십칠 일이에요.</li></ul>	<ul><li>Quel jour sommes-nous aujourd'hui ?</li><li>Aujourd'hui nous sommes le 17 octobre.</li></ul>

[sound:어제_뭘_했어요.mp3]	<ul><li>어제 뭘 했어요?</li><li>영어를 가르쳤어요.</li></ul>	<ul><li>Qu'avez-vous fait hier ?</li><li>J'ai enseigné l'anglais.</li></ul>

[sound:을까요.mp3]	(으)ㄹ까요?	suggérer à l'interlocuteur de faire qq chose, généralement ensemble (voulez-vous, voudriez-vous, que diriez-vous de)

[sound:산에_갈까요.mp3]	<ul><li>산에 갈까요?</li><li>네, 좋아요.</li></ul>	<ul><li>Voudriez-vous aller à la montagne ?</li><li>Oui, c'est parfait.</li></ul>

[sound:내일_영화_볼까요.mp3]	<ul><li>민수 씨, 내일 영화 볼까요?</li><li>내일은 시간이 없어요.</li><li>그럼 토요일은 어때요?</li><li>좋아요.</li></ul>	<ul><li>Minsu, voudriez-vous voir un film demain ?</li><li>Demain je n'ai pas le temps.</li><li>Alors que diriez-vous de samedi ?</li><li>C'est parfait.</li></ul>

[sound:어디에서_만날까요.mp3]	<ul><li>어디에서 만날까요?</li><li>도서관 앞에서 만나요.</li><li>도서관 앞은 복잡해요.</li><li>그럼 책방 앞은 어때요?</li></ul>	<ul><li>Où devrions-nous nous retrouver ?</li><li>Rendez-vous devant la bibliothèque.</li><li>Il y a trop de monde devant la bibliothèque.</li><li>Alors pourquoi pas devant la librairie ?</li></ul>

[sound:토요일에_영화_볼까요.mp3]	<ul><li>토요일에 영화 볼까요?</li><li>토요일이 며칠이에요?</li><li>오월 삼 일이에요.</li><li>좋아요.</li></ul>	<ul><li>Voulez-vous voir un film samedi ?</li><li>Quel jour sommes-nous samedi ?</li><li>C'est le 3 mai.</li><li>C'est parfait.</li></ul>

[sound:몇_시에_만날까요.mp3]	<ul><li>몇 시에 만날까요?</li><li>두 시에 학교 앞에서 만나요.</li><li>좋아요.</li></ul>	<ul><li>À quelle heure nous retrouvons-nous ?</li><li>Rendez-vous devant l'école à deux heures.</li><li>C'est parfait.</li></ul>


## 듣기

[sound:11월_20일이에요.mp3]	<ul><li>오늘이 며칠이에요?</li><li>11월 20일이에요.</li></ul>	<ul><li>Quel jour sommes-nous aujourd'hui ?</li><li>Nous sommes le 20 novembre.</li></ul>

[sound:10월_15일이에요.mp3]	<ul><li>오늘이 며칠이에요?</li><li>10월 15일이에요.</li></ul>	<ul><li>Quel jour sommes-nous aujourd'hui ?</li><li>Nous sommes le 15 octobre.</li></ul>

[sound:9월_13일이에요.mp3]	<ul><li>생일이 언제예요?</li><li>제 생일은 9월 13일이에요.</li></ul>	<ul><li>Quand est ton anniversaire ?</li><li>Mon anniversaire est le 13 septembre.</li></ul>

[sound:2월_8일이에요.mp3]	<ul><li>생일이 언제예요?</li><li>2월 8일이에요.</li></ul>	<ul><li>Quand est ton anniversaire ?</li><li>Il est le 8 février.</li></ul>

[sound:6월_4일에_왔어요.mp3]	<ul><li>언제 한국에 왔어요?</li><li>저는 6월 4일에 왔어요.</li></ul>	<ul><li>Quand es-tu venu en Corée ?</li><li>Je suis venu le 4 juin.</li></ul>

[sound:8월_27일에_가요.mp3]	<ul><li>언제 미국에 가요?</li><li>8월 27일에 가요.</li></ul>	<ul><li>Quand vas-tu aux États-Unis ?</li><li>Je pars le 27 août.</li></ul>


[sound:오늘은_태권도를_배워요.mp3]	<ul><li>오늘은 뭐 해요?</li><li>오늘은 태권도를 배워요.</li></ul>	<ul><li>Que fais-tu aujourd'hui ?</li><li>Aujourd'hui j'apprends le taekwondo.</li></ul>

[sound:5월_15일에_갔어요.mp3]	<ul><li>언제 병원에 갔어요?</li><li>5월 15일에 갔어요.</li></ul>	<ul><li>Quand es-tu allé à l'hôpital ?</li><li>J'y suis allé le 15 mai.</li></ul>

[sound:5월_30일이에요.mp3]	<ul><li>애니 씨 생일이 언제예요?</li><li>5월 30일이에요.</li></ul>	<ul><li>Quand est l'anniversaire d'Annie ?</li><li>Il est le 30 mai.</li></ul>

[sound:친구를_만났어요.mp3]	<ul><li>어제 뭘 했어요?</li><li>친구를 만났어요.</li></ul>	<ul><li>Qu'as-tu fait hier ?</li><li>J'ai rencontré des amis.</li></ul>

[sound:5월_7일에_뭐_했어요.mp3]	<ul><li>5월 7일에 뭐 했어요?</li><li>산에 갔어요.</li></ul>	<ul><li>Qu'as-tu fait le 7 mai ?</li><li>Je suis allé à la montagne.</li></ul>

[sound:언제_영화를_볼까요.mp3]	<ul><li>언제 영화를 볼까요?</li><li>23일에 봐요.</li></ul>	<ul><li>Quand voyons-nous un film ?</li><li>Le 23.</li></ul>


[sound:3월_12일이에요.mp3]	<ul><li>오늘이 며칠이에요?</li><li>3월 12일이에요.</li></ul>	<ul><li>Quel jour sommes-nous aujourd'hui ?</li><li>Nous sommes le 12 mars.</li></ul>

[sound:7월_26일이에요.mp3]	<ul><li>오늘이 며칠이에요?</li><li>7월 26일이에요.</li></ul>	<ul><li>Quel jour sommes-nous aujourd'hui ?</li><li>Nous sommes le 26 juillet.</li></ul>

[sound:6월_8일이에요.mp3]	<ul><li>생일이 언제예요?</li><li>제 생일은 6월 8일이에요.</li></ul>	<ul><li>Quand est ton anniversaire ?</li><li>Mon anniversaire est le 8 juin.</li></ul>

[sound:10월_30일이에요.mp3]	<ul><li>생일이 언제예요?</li><li>10월 30일이에요.</li></ul>	<ul><li>Quand est ton anniversaire ?</li><li>Il est le 30 octobre.</li></ul>

[sound:4월_11일에_봐요.mp3]	<ul><li>언제 시험을 봐요?</li><li>4월 11일에 봐요.</li></ul>	<ul><li>Quand passes-tu ton examen ?</li><li>Je le passe le 11 avril.</li></ul>

[sound:5월_10일에_가요.mp3]	<ul><li>언제 영국에 가요?</li><li>5월 10일에 가요.</li></ul>	<ul><li>Quand vas-tu en Angleterre ?</li><li>J'y vais le 10 mai.</li></ul>


[sound:커피숍에서_생일_파티를_했어요.mp3]	<ul><li>어디에서 생일 파티를 했어요?</li><li>커피숍에서 생일 파티를 했어요.</li></ul>	<ul><li>Où avait lieu la fête d'anniversaire ?</li><li>Elle avait lieu dans un café.</li></ul>

[sound:공원에서_책을_읽었어요.mp3]	<ul><li>어디에서 책을 읽었어요?</li><li>공원에서 책을 읽었어요.</li></ul>	<ul><li>Où lisiez-vous votre livre ?</li><li>Je le lisais au parc.</li></ul>

[sound:집에서_밥을_먹었어요.mp3]	<ul><li>어디에서 밥을 먹었어요?</li><li>집에서 밥을 먹었어요.</li></ul>	<ul><li>Où avez-vous mangé ?</li><li>J'ai mangé à la maison.</li></ul>

[sound:도서관에서_친구를_만났어요.mp3]	<ul><li>어디에서 친구를 만났어요?</li><li>도서관에서 친구를 만났어요.</li></ul>	<ul><li>Où avez-vous rencontré votre ami ?</li><li>Je l'ai rencontré à la bibliothèque.</li></ul>

[sound:병원에서_일했어요.mp3]	<ul><li>어디에서 일했어요?</li><li>병원에서 일했어요.</li></ul>	<ul><li>Où avez-vous travaillé ?</li><li>J'ai travaillé à l'hôpital.</li></ul>

[sound:시험이_잘_보세요.mp3]	<ul><li>제민 씨, 수요일 오후에 시간 있어요?</li><li>네, 시간 있어요. 왜요?</li><li>제가 11시에 시험이 있어요. 우리 4시에 만날까요?</li><li>좋아요. 4시에 만나요.</li><li>미안해요.</li><li>아니에요. 시험 잘 보세요.</li></ul>	<ul><li>Jaemin, as-tu du temps mercredi après-midi ?</li><li>Oui, pourquoi ?</li><li>J'ai un examen à 11h. Pouvons-nous nous rencontrer à 4h ?</li><li>Très bien, retrouvons-nous à 4h.</li><li>Désolé.</li><li>Il ne faut pas. Réussis ton examen.</li></ul>

[sound:일요일은_괜찮아요.mp3]	<ul><li>미나 씨, 토요일에 시간 있어요?</li><li>미안해요, 마이클 씨. 토요일에는 약속이 있어요.</li><li>그럼 일요일은 어때요?</li><li>일요일은 괜찮아요.</li></ul>	<ul><li>Mina, as-tu du temps samedi ?</li><li>Désolée Michael, samedi j'ai un rendez-vous.</li><li>Alors dimanche ?</li><li>Dimanche ça va.</li></ul>

[sound:무슨_영화를_볼까요.mp3]	<ul><li>우리 영화 볼까요?</li><li>좋아요. 무슨 영화를 볼까요?</li><li>'약속' 어때요?</li><li>좋아요. 몇 시에 만날까요?</li><li>세 시에 극장 앞에서 만나요.</li><li>좋아요.</li></ul>	<ul><li>Que dirais-tu d'aller voir un film ensemble ?</li><li>Parfait. Quel film veux-tu voir ?</li><li>Que penses-tu de «&nbsp;La promesse&nbsp;» ?</li><li>Très bien. À quelle heure nous retrouvons-nous ?</li><li>Retrouvons-nous à 3h devant le cinéma.</li><li>Parfait.</li></ul>
