tags: active-korean unit-1-experience


## 어휘

[sound:경험.mp3]	경험	expérience
[sound:상.mp3]	상	prix, récompense, distinction
[sound:번지_점프.mp3]	번지 점프	saut à l'élastique<p class="small">(angl. “bungee jump”)</p>
[sound:체크인.mp3]	체크인	enregistrement<p class="small">(angl. “check-in”)</p>
[sound:온천.mp3]	온천	source chaude / thermale<p class="small">(jap. “onsen”)</p>

# 아주머니 / 아줌마  Madame / Generally used to address a middle-aged woman or a married woman. ~~> 아주머니 sounds like more formal than 아줌마
# 아저씨           Monsieur / Generally used to address an adult man.

# 공짜  free of charge
# 소원  wish
# 호수  lake
# 돌  stone  /  돌탑  stone tower
# 놓다  to put
# 무너지다  to crumble
# 신기하다  marvelous
# 마이산  Maisan  https://en.wikipedia.org/wiki/Maisan   ~~~  https://en.wikipedia.org/wiki/Tapsa

# 가지 kind
# Both 가지 and 종류 can be used as a counter to count how many varieties there are, but 종류 can also be used itself to mean 'variety'.
# For example:	세 종류의 책이 있다 = 세 가지 책이 있다 = there are three different types of books
# 	종류가 같다/다르다 = they fall into the same category/different categories
# 종류 = 한문
# 가지 = 한글

[sound:입원하다.mp3]	입원하다	hospitaliser / être hospitalisé
[sound:꾸다.mp3]	<span class="light">(꿈을)</span> 꾸다	rêver
[sound:잃어버리다.mp3]	잃어버리다	perdre, égarer
[sound:조심하다.mp3]	조심하다	faire attention, être prudent, prendre garde

[sound:울음.mp3]	울음	pleur
[sound:울다.mp3]	울다<p class="small">(&ne;&nbsp;웃다)</p>	pleurer<p class="small">(&ne;&nbsp;rire)</p>
[sound:헤어지다.mp3]	헤어지다	se séparer, rompre

[sound:어린이.mp3]	어린이	enfant
[sound:어리다.mp3]	어리다	être jeune<hr/>être inexpérimenté, ignorant
[sound:짜다.mp3]	짜다	être salé
[sound:틀리다.mp3]	틀리다	être faux


[sound:기쁨.mp3]	기쁨<p class="small">(&ne;&nbsp;슬픔)</p>	joie, plaisir<p class="small">(&ne;&nbsp;tristesse)</p>
[sound:기쁘다.mp3]	기쁘다 <span class="small light">/ 즐겁다</span><p class="small">(&ne;&nbsp;슬프다)</p>	être content, heureux<p class="small">(&ne;&nbsp;être triste)</p><ul>기쁘다 et 즐겁다 sont couramment utilisés pour désigner “un état émotionnel agréable”. 기쁘다 et 즐겁다 présentent les différences sémantiques suivantes :<li>En termes de motivation, <span class="em">기쁘다 décrit l'émotion associée à la réalisation d'un souhait ou lorsque quelque chose de bien se produit par hasard</span>. 즐겁다 fait quant à lui référence à l'émotion ressentie lors d'une expérience intéressante.</li><li>En termes d'objet, 즐겁다 a une portée beaucoup plus large que 기쁘다. <span class="em">기쁘다 nécessite de préciser ce qui est plaisant</span>. Alors qu'avec 즐겁다 (ou 행복하다) il n'y a pas besoin d'être spécifique.</li><li>En termes de temporalité, <span class="em">기쁘다 exprime un sentiment momentané</span> tandis que 즐겁다 exprime un sentiment continu.</li><li>En termes de réponse physique, <span class="em">기쁘다 est extraverti et correspond à 마음 (l'esprit, le mental)</span>, tandis que 즐겁다 est introverti et englobe 마음 et 몸 (le corps, c-à-d les 5 sens).</li><li>En ce qui concerne le sujet, la participation à un incident antérieur n'est pas nécessaire dans le cas de 기쁘다, bien qu'elle soit essentielle pour 즐겁다.</li></ul><ul>En résumé, <span class="em">기쁘다 se ressent dans les résultats</span>, 즐겁다 se ressent dans le processus, 행복 하다 se ressent dans la vie.</ul><ul>기쁘다 et 행복하다 sont souvent interchangeables en coréen, ce qui n'est pas le cas de 기쁘다 et 즐겁다.</ul>
[sound:즐겁다.mp3]	즐겁다 <span class="small light">/ 기쁘다</span>	être plaisant, agréable<ul>기쁘다 et 즐겁다 sont couramment utilisés pour désigner “un état émotionnel agréable”. 기쁘다 et 즐겁다 présentent les différences sémantiques suivantes :<li>En termes de motivation, 기쁘다 décrit l'émotion associée à la réalisation d'un souhait ou lorsque quelque chose de bien se produit par hasard. <span class="em">즐겁다 fait quant à lui référence à l'émotion ressentie lors d'une expérience intéressante</span>.</li><li>En termes d'objet, 즐겁다 a une portée beaucoup plus large que 기쁘다. 기쁘다 nécessite de préciser ce qui est plaisant. Alors qu'<span class="em">avec 즐겁다 (ou 행복하다) il n'y a pas besoin d'être spécifique</span>.</li><li>En termes de temporalité, 기쁘다 exprime un sentiment momentané tandis que <span class="em">즐겁다 exprime un sentiment continu</span>.</li><li>En termes de réponse physique, 기쁘다 est extraverti et correspond à 마음 (l'esprit, le mental), tandis que <span class="em">즐겁다 est introverti et englobe 마음 et 몸 (le corps, c-à-d les 5 sens)</span>.</li><li>En ce qui concerne le sujet, la participation à un incident antérieur n'est pas nécessaire dans le cas de 기쁘다, bien qu'elle soit essentielle pour 즐겁다.</li></ul><ul>En résumé, 기쁘다 se ressent dans les résultats, <span class="em">즐겁다 se ressent dans le processus</span>, 행복 하다 se ressent dans la vie.</ul><ul>기쁘다 et 행복하다 sont souvent interchangeables en coréen, ce qui n'est pas le cas de 기쁘다 et 즐겁다.</ul>



## 본문

[sound:제주도에_가_봤어요.mp3]	<ul><li>재민 씨, 제주도에 가 봤어요?</li><li>네, 가 봤어요. 애니 씨는요?</li><li>저는 아직 못 가 봤어요.</li><li>그럼 꼭 가 보세요. 정말 좋아요.</li><li>그런데 제주도는 뭐가 유명해요?</li><li>한라산하고 귤이 유명해요.</li></ul>	<ul><li>Jaemin, es-tu déjà allé sur l'île de Jeju ?</li><li>Oui, j'y suis déjà allé. Et toi Annie ?</li><li>Je n'y suis encore jamais allée.</li><li>Alors tu devrais absolument y aller. C'est vraiment bien.</li><li>Au fait, pourquoi l'île de Jeju est-elle célèbre ?</li><li>Elle est célèbre pour le mont Halla et ses mandarines.</li></ul>

[sound:김치_먹어_봤어요.mp3]	<ul><li>마이클 씨, 김치 먹어 봤어요?</li><li>그럼요. 먹어 봤어요.</li><li>미국에서도 김치를 먹은 적이 있어요?</li><li>아니요, 미국에서는 먹은 적이 없어요.</li><li>작년에 한국에 왔을 때 처음 먹어 봤어요.</li></ul>	<ul><li>Michael, as-tu déjà goûté du kimchi ?</li><li>Bien sûr. J'en ai déjà goûté.</li><li>En Amérique aussi as-tu mangé du kimchi ?</li><li>Non, je n'en ai pas mangé en Amérique.</li><li>J'en ai goûté pour la première fois lorsque je suis arrivé en Corée l'année dernière.</li></ul>

[sound:일본에_가_봤어요.mp3]	<ul><li>재민 씨, 일본에 가 봤어요?</li><li>네, 열흘 전에 일본으로 여행 갔다 왔어요.</li><li>일본에 갔을 때 날씨가 어땠어요?</li><li>아주 좋았어요. 그런데 왜요?</li><li>저도 일주일 후에 일본에 여행 가요.</li></ul>	<ul><li>Jaemin, es-tu déjà allé au Japon ?</li><li>Oui, je suis revenu d'un voyage au Japon il y a dix jours.</li><li>Quel temps faisait-il quand tu es allé au Japon ?</li><li>Très beau. Au fait, pourquoi ?</li><li>Je pars également en voyage au Japon dans une semaine.</li></ul>



## 듣기

[sound:중국에_가_봤어요.mp3]	<ul><li>중국에 가 봤어요?</li><li>네, 두 번 가 봤어요.</li></ul>	<ul><li>Es-tu déjà allé en Chine ?</li><li>Oui, j'y suis allé deux fois.</li></ul>

[sound:스키를_타_본_적이_있어요.mp3]	<ul><li>스키를 타 본 적이 있어요?</li><li>그럼요. 각년 겨울에 타 봤어요.</li></ul>	<ul><li>As-tu déjà skié ?</li><li>Bien sûr. J'ai skié l'hiver dernier.</li></ul>

[sound:한국_음식을_만들어_봤어요.mp3]	<ul><li>한국 음식을 만들어 봤어요?</li><li>아니요, 만들어 본 적은 없지만 한번 만들어 보고 싶어요.</li></ul>	<ul><li>As-tu déjà préparé de la nourriture coréenne ?</li><li>Non, je n'en ai jamais préparé, mais je veux y arriver.</li></ul>

[sound:서울에서_운전해_본_적이_있어요.mp3]	<ul><li>서울에서 운전해 본 적이 있어요?</li><li>저는 운전을 못하는데요.</li></ul>	<ul><li>As-tu déjà conduit à Séoul ?</li><li>Je ne peux pas conduire.</li></ul>

[sound:여자_친구한테_꽃을_사_준_적이_있어요.mp3]	<ul><li>여자 친구한테 꽃을 사 준 적이 있어요?</li><li>저는 아직 여자 친구가 없어요.</li></ul>	<ul><li>As-tu déjà acheté des fleurs pour ta petite amie ?</li><li>Je n'ai pas encore de petite amie.</li></ul>


[sound:춘천에_가_본_적이_있어요.mp3]	<ul><li>웨이 씨, 춘천에 가 본 적이 있어요?</li><li>네, 작년 여름에 가 봤어요. 그런데 왜요?</li><li>이번 휴가에 춘천에 가고 싶어서요. 웨이 씨는 춘천에 갔을 때 뭘 했어요?</li><li>배도 타고 자전거도 탔어요.</li><li>어땠어요?</li><li>정말 좋았어요.</li><li>춘천은 무슨 음식이 유명해요?</li><li>“닭갈비”가 유명해요. 좀 맵지만 정말 맛있어요. 크리스 씨, 닭갈비 먹어 봤어요?</li><li>“닭갈비”요? 아직 못 먹어 봤어요. 이번에 춘천에 가면 꼭 먹어 보고 싶어요.</li></ul>	<ul><li>Wei, es-tu déjà allée à Chuncheon ?</li><li>Oui, j'y suis allée l'été dernier. Pourquoi ?</li><li>Je veux aller à Chuncheon pendant ces vacances. Qu'est-ce que tu as fait quand tu est allée à Chuncheon ?</li><li>J'ai fait du bateau et du vélo.</li><li>C'était comment ?</li><li>C'était vraiment bien.</li><li>Quelle est la spécialité culinaire de Chuncheon ?</li><li>Le “dak-galbi” est célèbre. C'est un peu épicé mais c'est vraiment délicieux. Chris, en as-tu déjà mangé ?</li><li>Du “dak-galbi” ? Je n'en ai pas encore goûté. Je veux absolument essayer la fois où j'irai à Chuncheon.</li></ul>

[sound:여러분은_독일에_가_본_적이_있어요.mp3]	<ul>안녕하세요? 여러분, 여러분은 여행을 좋아하세요? 오늘 저는 여러분에게 여행 이야기를 할 거예요. 여러분은 독일에 가 본 적이 있어요? 저는 작년 여름에 혼자 독일에 갔다 왔어요. 저는 전에 혼자 여행한 적이 없어서 처음에게 걱정이 많았어요.</ul>	<ul>Bonjour, tout le monde. Aimez-vous voyager ? Aujourd'hui je vais vous raconter une histoire de voyage. Êtes-vous déjà allés en Allemagne ? En ce qui me concerne, l'été dernier je suis allé seule en Allemagne. Comme je n'avais jamais voyagé seule auparavant, j'étais donc très inquiète au début.</ul>


[sound:공항에_도착했을_때_저녁_6시였어요.mp3]	<ul>공항에 도착했을 때 저녁 6시였어요. 공항에서 지하철을 타고 호텔로 갔어요. 호텔은 별로 안 멀었어요. 호텔에서 체크인을 하고 배가 고파서 가까운 식당에 갔어요.</ul>	<ul>Il était 18 heures quand je suis arrivé à l'aéroport. J'ai pris le métro de l'aéroport à l'hôtel. L'hôtel n'était pas très loin. Je me suis enregistré à l'hôtel et je suis allé dans un restaurant voisin car j'avais faim.</ul>

[sound:독일_음식을_먹어_보고_싶었어요.mp3]	<ul>저는 독일 음식을 먹어 보고 싶었어요. 그래서 메뉴를 보고 돼지고기 요리를 시켰어요. 저는 독일 음식을 처음 먹어 봤는데 좀 짰지만 맛있었어요.</ul>	<ul>Je voulais goûter la cuisine allemande. J'ai donc regardé le menu et commandé des plats de porc. C'était la première fois que j'essayais la cuisine allemande et c'était un peu salé mais délicieux.</ul>

[sound:저녁을_먹고_시내를_구경하고_싶어서_시내로_갔어요.mp3]	<ul>저녁을 먹고 시내를 구경하고 싶어서 시내로 갔어요. 저녁이었지만 시내에는 사람이 많았어요. 여행 온 외국 사람들이 많았어요. 일본 사람도 있고 한국 사람도 있었어요.</ul>	<ul>Je suis allé au centre-ville parce que je voulais dîner et visiter le centre. C'était le soir mais il y avait beaucoup de monde dans le centre. Il y avait de nombreux étrangers en train de voyager. Il y avait aussi des Japonais et des Coréens.</ul>



## 추가 표현


## workbook

