tags: active-korean unit-3-restaurant


## 어휘

[sound:식당.mp3]	식당	restaurant
[sound:김밥.mp3]	김밥	gimbap<p class="small">(~ maki japonais)</p>
[sound:삼각김밥.mp3]	삼각김밥	gimbap triangulaire<p class="small">(~ onigiri japonais)</p>
[sound:비빔밥.mp3]	비빔밥	bibimbap
[sound:김치.mp3]	김치	kimchi
[sound:빵.mp3]	빵	pain
[sound:햄버거.mp3]	햄버거	hamburger
[sound:과일.mp3]	과일	fruit
[sound:버찌.mp3]	버찌	cerise
[sound:토마토.mp3]	토마토	tomate
[sound:바나나.mp3]	바나나	banane
[sound:오렌지.mp3]	오렌지	orange
[sound:딸기.mp3]	딸기	fraise
[sound:레몬.mp3]	레몬	citron
[sound:사과.mp3]	사과	pomme
[sound:포도.mp3]	포도	raisin
[sound:귤.mp3]	귤	mandarine
[sound:감.mp3]	감	kaki
[sound:배.mp3]	배	poire
[sound:수박.mp3]	수박	pastèque, melon d'eau

[sound:쌀.mp3]	쌀	riz (cru)
[sound:밥.mp3]	밥	riz (cuit), repas
[sound:죽.mp3]	죽	bouillie, potage, soupe

[sound:음료수.mp3]	음료수	boisson
[sound:우유.mp3]	우유	lait
[sound:커피.mp3]	커피	café<p class="small">(boisson)</p>
[sound:홍차.mp3]	홍차	thé noir
[sound:콜라.mp3]	콜라	cola
[sound:물.mp3]	물	eau
[sound:주스.mp3]	주스	jus
[sound:녹차.mp3]	녹차	thé vert
[sound:술.mp3]	술	alcool
[sound:맥주.mp3]	맥주	bière
[sound:생맥주.mp3]	생맥주	bière pression
[sound:포도주.mp3]	포도주	vin
[sound:소주.mp3]	소주	soju
[sound:막걸리.mp3]	막걸리	makgeolli<p class="small">(alcool de riz coréen doux et laiteux)</p>

[sound:반찬.mp3]	반찬	accompagnement (nourriture)
[sound:생선.mp3]	생선	poisson (aliment)
[sound:돼지고기.mp3]	돼지고기	(viande de) porc
[sound:쇠고기.mp3]	쇠고기	(viande de) bœuf
[sound:닭고기.mp3]	닭고기	(viande de) poulet
[sound:간장.mp3]	간장	sauce soja
[sound:소금.mp3]	소금	sel
[sound:후추.mp3]	후추	poivre

[sound:컵.mp3]	컵	tasse, verre
[sound:접시.mp3]	접시	assiette
[sound:숟가락.mp3]	숟가락	cuillère
[sound:젓가락.mp3]	젓가락	baguettes

[sound:메뉴.mp3]	메뉴	menu
[sound:더.mp3]	더	plus, encore
[sound:몇.mp3]	몇	combien
[sound:손님.mp3]	손님	client, hôte, invité

[sound:한식.mp3]	한식	cuisine coréenne
[sound:일식.mp3]	일식	cuisine japonaise
[sound:양식.mp3]	양식	cuisine occidentale

[sound:하나_1.mp3]	하나 (한)	un<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:둘_2.mp3]	둘 (두)	deux<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:셋_3.mp3]	셋 (세)	trois<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:넷_4.mp3]	넷 (네)	quatre<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:다섯_5.mp3]	다섯	cinq<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:여섯_6.mp3]	여섯	six<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:일곱_7.mp3]	일곱	sept<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:여덟_8.mp3]	여덟	huit<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:아홉_9.mp3]	아홉	neuf<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:열_10.mp3]	열	dix<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:스물_20.mp3]	스물 (스무)	vingt<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:서른_30.mp3]	서른	trente<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:마흔_40.mp3]	마흔	quarante<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:쉰_50.mp3]	쉰	cinquante<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:예순_60.mp3]	예순	soixante<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:일흔_70.mp3]	일흔	soixante-dix<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:여든_80.mp3]	여든	quatre-vingt<p class="small">(cardinal <span class="em">coréen</span>)</p>
[sound:아흔_90.mp3]	아흔	quatre-vingt-dix<p class="small">(cardinal <span class="em">coréen</span>)</p>

[sound:병.mp3]	병	bouteilles<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:개.mp3]	개	objets, choses<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:잔.mp3]	잔	verres, tasses<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:줄.mp3]	줄	rangées, lignes, cordes<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>
[sound:그릇.mp3]	그릇	bols, plats<p class="small">(cardinal <span class="em">coréen</span> + classificateur)</p>

[sound:한병_한개_한잔.mp3]	한 병 / 한 개 / 한 잔	une bouteille / un objet / un verre
[sound:두병_두개_두잔.mp3]	두 병 / 두 개 / 두 잔	deux bouteilles / deux objets / deux verres
[sound:세병_세개_세잔.mp3]	세 병 / 세 개 / 세 잔	trois bouteilles / trois objets / trois verres
[sound:네병_네개_네잔.mp3]	네 병 / 네 개 / 네 잔	quatre bouteilles / quatre objets / quatre verres
[sound:다섯병_다섯개_다섯잔.mp3]	다섯 병 / 다섯 개 / 다섯 잔	cinq bouteilles / cinq objets / cinq verres
[sound:여섯병_여섯개_여섯잔.mp3]	여섯 병 / 여섯 개 / 여섯 잔	six bouteilles / six objets / six verres
[sound:일곱병_일곱개_일곱잔.mp3]	일곱 병 / 일곱 개 / 일곱 잔	sept bouteilles / sept objets / sept verres
[sound:여덟병_여덟개_여덟잔.mp3]	여덟 병 / 여덟 개 / 여덟 잔	huit bouteilles / huit objets / huit verres
[sound:아홉병_아홉개_아홉잔.mp3]	아홉 병 / 아홉 개 / 아홉 잔	neuf bouteilles / neuf objets / neuf verres
[sound:열병_열개_열잔.mp3]	열 병 / 열 개 / 열 잔	dix bouteilles / dix objets / dix verres

[sound:사과_한_개_주세요.mp3]	사과 한 개 주세요	donnez-moi une pomme svp
[sound:콜라_두_병_주세요.mp3]	콜라 두 병 주세요	donnez-moi deux bouteilles de cola svp
[sound:커피_세_잔_주세요.mp3]	커피 세 잔 주세요	donnez-moi trois tasses de café svp
[sound:몇_개예요.mp3]	<ul><li>몇 개예요?</li><li>네 개예요.</li></ul>	<ul><li>Combien y en a-t-il ?</li><li>Il y en a quatre.</li></ul>
[sound:몇_개_있어요.mp3]	몇 개 있어요? / 몇 개예요?	combien y a-t-il d'objets ?
[sound:몇_병_있어요.mp3]	몇 병 있어요? / 몇 병이에요?	combien y a-t-il de bouteilles ?


## 핵심 대화

[sound:불고기_주세요.mp3]	<ul><li>어서 오세요. 뭐 드릴까요?</li><li>불고기 주세요.</li></ul>	<ul><li>Bienvenue. Que désirez-vous ?</li><li>Je voudrais du bulgogi s'il vous plaît.</li></ul>

[sound:냉면_둘_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>냉면 둘 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais deux bols de naengmyeon s'il vous plaît.</li></ul>

[sound:콜라_한_병하고_맥주_두_병_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>콜라 한 병하고 맥주 두 병 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais une bouteille de cola et deux bouteilles de bière s'il vous plaît.</li></ul>

[sound:김치_좀_더_주세요-1.mp3]	<ul><li>여기요. 김치 좀 더 주세요.</li><li>잠깐만 기다리세요.</li></ul>	<ul><li>Excusez-moi. Pourrais-je avoir plus de kimchi s'il vous plaît ?</li><li>Un instant s'il vous plaît.</li></ul>

[sound:김치_좀_더_주세요-2.mp3]	<ul><li>여기요. 김치 좀 더 주세요.</li><li>네, 여기 있어요.</li></ul>	<ul><li>Excusez-moi. Pourrais-je avoir plus de kimchi s'il vous plaît ?</li><li>Oui, voilà.</li></ul>


## 듣기

[sound:햄버거_두_개_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>햄버거 두 개 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 2 hamburgers svp.</li></ul>

[sound:오렌지_주스_세_잔_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>오렌지 주스 세 잔 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 3 verres de jus d'orange svp.</li></ul>

[sound:커피_한_잔_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>커피 한 잔 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 1 tasse de café svp.</li></ul>

[sound:맥주_다섯_병_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>맥주 다섯 병 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 5 bouteilles de bière svp.</li></ul>

[sound:오렌지_다섯_개하고_사과_두_개_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>오렌지 다섯 개하고 사과 두 개 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 5 oranges et 2 pommes svp.</li></ul>

[sound:불고기_둘하고_콜라_한_병_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>불고기 둘하고 콜라 한 병 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 2 bulgogi et 1 bouteille de cola svp.</li></ul>

[sound:콜라_한_병하고_커피_네_잔_주세요.mp3]	<ul><li>뭐 드릴까요?</li><li>콜라 한 병하고 커피 네 잔 주세요.</li></ul>	<ul><li>Que désirez-vous ?</li><li>Je voudrais 1 bouteille de cola et 4 tasses de café svp.</li></ul>
