tags: active-korean unit-9-phone-call


## 어휘

[sound:전화번호가_몇_번이에요.mp3]	전화번호가 몇 번이에요?<hr/>전화번호 좀 가르쳐 주세요<hr/>전화번호 좀 알려 주세요	Quel est votre numéro de téléphone svp ?
[sound:거기_크리스_씨_집이지요.mp3]	<ul><li>여보세요. 거기 크리스 씨 집이지요?</li><li>네, 전데요. 실례지만 누구세요?</li><li>저 웨이예요.</li></ul>	<ul><li>Allô, je suis bien chez Chris, n'est-ce pas ?</li><li>Oui, c'est moi. Excusez-moi mais qui est à l'appareil ?</li><li>Je suis Wei.</li></ul>

[sound:거기_서울대학교지요.mp3]	<ul><li>여보세요. 거기 서울대학교지요?</li><li>아닌데요.</li></ul>	<ul><li>Allô, je suis bien à l'Université nationale de Séoul, n'est-ce pas ?</li><li>Non ce n'est pas ça.</li></ul>


[sound:웨이_씨는_케이크를_만들어_주세요.mp3]	<ul><li>웨이 씨, 이번 토요일에 애니 씨 생일 파티를 해요. 웨이 씨는 케이크를 만들어 주세요.</li><li>좋아요.</li></ul>	<ul><li>Wei, samedi-là j'organise la fête d'anniversaire d'Annie. Wei, peux-tu faire un gâteau stp ?</li><li>Avec plaisir.</li></ul>

[sound:크리스_씨는_생일_파티_노래를_준비해_주세요.mp3]	<ul><li>여보세요, 크리스 씨?</li><li>네, 전데요.</li><li>토요일에 애니 씨 생일 파티를 해요. 크리스 씨는 생일 파티 노래를 준비해 주세요.</li></ul>	<ul><li>Allô, Chris ?</li><li>Oui, c'est moi.</li><li>Samedi j'organise la fête d'anniversaire d'Annie. Chris, peux-tu préparer une chanson d'anniversaire stp ?</li></ul>

[sound:알렉스_씨는_꽃을_준비해_주세요.mp3]	<ul><li>알렉스 씨, 이번 토요일에 시간 있어요?</li><li>네, 있어요.</li><li>토요일에 애니 씨 생일 파티가 있어요. 알렉스 씨는 꽃을 준비해 주세요.</li></ul>	<ul><li>Alex, as-tu du temps samedi-là ?</li><li>Oui, j'en ai.</li><li>Samedi c'est la fête d'anniversaire d'Annie. Alex, peux-tu préparer des fleurs stp ?</li></ul>

[sound:미사코_씨는_일번_음식을_만들어_주세요.mp3]	<ul><li>미사코 씨, 저 재민인데요. 토요일에 애니 씨 생일 파티에 오지요?</li><li>네.</li><li>그럼 미사코 씨는 일번 음식을 만들어 주세요.</li><li>네, 알겠어요.</li></ul>	<ul><li>Misako, c'est Jaemin. Samedi, tu viens à la fête d'anniversaire d'Annie n'est-ce pas ?</li><li>Oui.</li><li>Alors, Misako, peux-tu préparer de la nourriture japonaise stp ?</li><li>Oui, j'ai compris.</li></ul>

[sound:거기_재민_씨_집이지요.mp3]	<ul><li>여보세요. 거기 재민 씨 집이지요?</li><li>네, 그런데요.</li><li>안녕하세요? 저는 친구 크리스예요. 재민 씨 집에 있어요?</li><li>지금 집에 없어요. 도서관에서 공부하고 있어요.</li><li>네, 알겠습니다. 안녕히 계세요.</li></ul>	<ul><li>Allô, je suis bien chez Jaemin n'est-ce pas ?</li><li>Oui, c'est ça.</li><li>Bonjour. Je suis Chris, un ami. Est-ce que Jaemin est à la maison ?</li><li>Non, pas en ce moment. Il est en train d'étudier à la bibliothèque.</li><li>Oui, je comprends. Au revoir.</li></ul>


[sound:지금_집에서_공부하고_있어요.mp3]	<ul><li>재민 씨, 지금 어디예요?</li><li>지금 집에서 공부하고 있어요.</li></ul>	<ul><li>Jaemin, où es-tu maintenant ?</li><li>Maintenant, je suis à la maison en train d'étudier.</li></ul>

[sound:친구를_만나고_있어요.mp3]	<ul><li>마이클 씨, 지금 어디예요? 뭐 하고 있어요?</li><li>학교예요. 친구를 만나고 있어요.</li></ul>	<ul><li>Michael, où es-tu maintenant ? Qu'es-tu en train de faire ?</li><li>Je suis à l'école, en train de rencontrer un ami.</li></ul>

[sound:그림을_그리고_있어요.mp3]	<ul><li>애니 씨, 지금 어디예요?</li><li>공원이에요. 그림 그리고 있어요.</li></ul>	<ul><li>Annie, où es-tu maintenant ?</li><li>Je suis au parc, en train de dessiner.</li></ul>

[sound:극장_앞에서_친구를_기다리고_있어요.mp3]	<ul><li>미사코 씨, 지금 뭐 해요?</li><li>극장 앞에서 친구를 기다리고 있어요.</li></ul>	<ul><li>Misako, qu'est-ce que tu fais maintenant ?</li><li>Je suis devant le cinéma en train d'attendre une amie.</li></ul>

[sound:거기_미영_씨_집이지요.mp3]	<ul><li>여보세요? 거기 미영 씨 집이지요?</li><li>네, 그런데요.</li><li>미영 씨 좀 바꿔 주세요.</li><li>잠깐만 기다리세요.</li></ul>	<ul><li>Allô. Je suis bien chez Miyong ?</li><li>Oui, c'est ça.</li><li>Pouvez-vous me passer Miyong svp ?</li><li>Ne quittez pas.</li></ul>

[sound:내일_일곱_시에_서울극장에서_만나요.mp3]	<ul><li>여보세요?</li><li>미영 씨, 저 진수예요. 내일 영화 볼까요?</li><li>좋아요. 저녁에 시간 있어요.</li><li>그럼 내일 일곱 시에 서울극장에서 만나요.</li><li>네, 내일 만나요.</li></ul>	<ul><li>Allô ?</li><li>Miyong, c'est Jinsoo à l'appareil. Veux-tu voir un film demain ?</li><li>Avec plaisir, je suis disponible en soirée.</li><li>Alors rendez-vous demain à 19h au cinéma de Séoul.</li><li>Oui, à demain.</li></ul>
